Id,Label,Latitude,Longitude,Densidade,Tipo
"17.0_-60.0","17.0_-60.0",17.6025,-59.4431,0.005986,"Intermediario"
"34.0_-120.0","34.0_-120.0",34.2048,-119.4984,0.014771,"Intermediario"
"21.0_-130.0","21.0_-130.0",21.6500,-129.3900,0.006750,"Intermediario"
"15.0_-159.0","15.0_-159.0",15.4350,-158.4300,0.001710,"Intermediario"
"14.0_-82.0","14.0_-82.0",14.4650,-81.6250,0.003800,"Intermediario"
"34.0_-66.0","34.0_-66.0",34.4620,-65.4025,0.076492,"Intermediario"
"54.0_-165.0","54.0_-165.0",54.8210,-164.8840,0.000000,"Intermediario"
"19.0_-110.0","19.0_-110.0",19.4467,-109.3300,0.003967,"Intermediario"
"43.0_-70.0","43.0_-70.0",43.3769,-69.5056,0.003789,"Intermediario"
"-14.0_87.0","-14.0_87.0",-13.0805,87.4013,2.994000,"Intermediario"
"33.0_-163.0","33.0_-163.0",33.4179,-162.6658,0.065400,"Intermediario"
"24.0_135.0","24.0_135.0",24.6367,135.1660,0.109500,"Intermediario"
"29.0_-46.0","29.0_-46.0",29.0401,-45.4840,0.300000,"Intermediario"
"26.0_-68.0","26.0_-68.0",26.3450,-67.7250,0.033600,"Intermediario"
"4.0_-125.0","4.0_-125.0",4.0700,-124.0600,0.000000,"Intermediario"
"34.0_-177.0","34.0_-177.0",34.4727,-176.4532,0.194120,"Intermediario"
"-35.0_155.0","-35.0_155.0",-34.7671,155.7123,0.013600,"Intermediario"
"21.0_-61.0","21.0_-61.0",21.5090,-60.1050,0.011163,"Intermediario"
"7.0_-26.0","7.0_-26.0",7.3200,-26.0000,0.000000,"Intermediario"
"40.0_18.0","40.0_18.0",40.3762,18.7320,1.368920,"Intermediario"
"-35.0_27.0","-35.0_27.0",-34.8400,27.5500,0.019100,"Intermediario"
"-28.0_-27.0","-28.0_-27.0",-27.3323,-26.8913,0.009380,"Intermediario"
"37.0_-2.0","37.0_-2.0",37.2388,-1.2504,1.380000,"Intermediario"
"18.0_-153.0","18.0_-153.0",18.3650,-152.5850,0.000000,"Intermediario"
"-8.0_-120.0","-8.0_-120.0",-7.7000,-119.3800,0.000000,"Intermediario"
"14.0_-145.0","14.0_-145.0",14.7100,-144.4800,0.002370,"Intermediario"
"25.0_141.0","25.0_141.0",25.1907,141.1767,0.078600,"Intermediario"
"63.0_-54.0","63.0_-54.0",63.5700,-53.1200,0.061750,"Intermediario"
