Source,Target,Weight,Type
17.0_-60.0,16.0_-61.0,155.56,Directed
17.0_-60.0,16.0_-60.0,110.00,Directed
17.0_-60.0,16.0_-59.0,155.56,Directed
17.0_-60.0,17.0_-61.0,110.00,Directed
17.0_-60.0,17.0_-59.0,110.00,Directed
17.0_-60.0,18.0_-61.0,155.56,Directed
17.0_-60.0,18.0_-60.0,110.00,Directed
17.0_-60.0,18.0_-59.0,155.56,Directed
34.0_-120.0,33.0_-121.0,155.56,Directed
34.0_-120.0,33.0_-120.0,110.00,Directed
34.0_-120.0,33.0_-119.0,155.56,Directed
34.0_-120.0,34.0_-121.0,110.00,Directed
34.0_-120.0,35.0_-121.0,155.56,Directed
21.0_-130.0,20.0_-130.0,110.00,Directed
21.0_-130.0,22.0_-130.0,110.00,Directed
21.0_-130.0,22.0_-129.0,155.56,Directed
15.0_-159.0,14.0_-160.0,155.56,Directed
15.0_-159.0,14.0_-159.0,110.00,Directed
15.0_-159.0,14.0_-158.0,155.56,Directed
15.0_-159.0,15.0_-160.0,110.00,Directed
15.0_-159.0,15.0_-158.0,110.00,Directed
15.0_-159.0,16.0_-160.0,155.56,Directed
15.0_-159.0,16.0_-159.0,110.00,Directed
15.0_-159.0,16.0_-158.0,155.56,Directed
14.0_-82.0,13.0_-82.0,110.00,Directed
14.0_-82.0,15.0_-82.0,110.00,Directed
34.0_-66.0,33.0_-67.0,155.56,Directed
34.0_-66.0,33.0_-66.0,110.00,Directed
34.0_-66.0,33.0_-65.0,155.56,Directed
34.0_-66.0,34.0_-67.0,110.00,Directed
34.0_-66.0,34.0_-65.0,110.00,Directed
34.0_-66.0,35.0_-67.0,155.56,Directed
34.0_-66.0,35.0_-66.0,110.00,Directed
34.0_-66.0,35.0_-65.0,155.56,Directed
54.0_-165.0,54.0_-166.0,110.00,Directed
54.0_-165.0,55.0_-165.0,110.00,Directed
54.0_-165.0,55.0_-164.0,155.56,Directed
19.0_-110.0,18.0_-111.0,155.56,Directed
19.0_-110.0,18.0_-110.0,110.00,Directed
19.0_-110.0,18.0_-109.0,155.56,Directed
19.0_-110.0,19.0_-111.0,110.00,Directed
19.0_-110.0,19.0_-109.0,110.00,Directed
19.0_-110.0,20.0_-111.0,155.56,Directed
19.0_-110.0,20.0_-110.0,110.00,Directed
19.0_-110.0,20.0_-109.0,155.56,Directed
43.0_-70.0,42.0_-71.0,155.56,Directed
43.0_-70.0,42.0_-70.0,110.00,Directed
43.0_-70.0,42.0_-69.0,155.56,Directed
43.0_-70.0,43.0_-71.0,110.00,Directed
43.0_-70.0,43.0_-69.0,110.00,Directed
43.0_-70.0,44.0_-70.0,110.00,Directed
43.0_-70.0,44.0_-69.0,155.56,Directed
-14.0_87.0,-13.0_86.0,155.56,Directed
-14.0_87.0,-13.0_87.0,110.00,Directed
-14.0_87.0,-13.0_88.0,155.56,Directed
33.0_-163.0,32.0_-164.0,155.56,Directed
33.0_-163.0,33.0_-162.0,110.00,Directed
24.0_135.0,23.0_134.0,155.56,Directed
24.0_135.0,24.0_136.0,110.00,Directed
24.0_135.0,25.0_135.0,110.00,Directed
