ordem,celula,lat,lon,densidade
1,31.0_-65.0,31.724419,-64.470450,0.023400
2,30.0_-65.0,30.588000,-64.661000,0.190730
3,30.0_-64.0,30.344425,-63.626600,0.128775
4,30.0_-63.0,30.430000,-62.520000,0.132450
5,30.0_-62.0,30.482250,-61.353767,0.144000
6,30.0_-61.0,30.531333,-60.624000,0.078836
7,31.0_-61.0,31.667500,-60.375000,0.081400
8,31.0_-62.0,31.290000,-61.452500,0.062415
9,32.0_-62.0,32.402500,-61.672500,0.100375
10,32.0_-63.0,32.397500,-62.435000,0.075775
11,32.0_-64.0,32.433333,-63.703333,0.076842
12,33.0_-64.0,33.636250,-63.541250,0.074175
13,33.0_-65.0,33.603704,-64.647037,0.124237
14,34.0_-65.0,34.602083,-64.591667,0.221350
15,35.0_-65.0,35.473158,-64.573684,0.044862
16,35.0_-66.0,35.487200,-65.650400,0.071452
17,36.0_-66.0,36.548667,-65.364000,0.125120
18,36.0_-65.0,36.408750,-64.387500,0.046098
19,37.0_-65.0,37.447500,-64.666250,0.155825
20,37.0_-64.0,37.512500,-63.558750,0.090767
21,36.0_-64.0,36.568571,-63.584286,0.057729
22,35.0_-64.0,35.614000,-63.579000,0.053990
23,35.0_-63.0,35.712500,-62.260000,0.042150
24,35.0_-62.0,35.425000,-61.855000,0.154070
25,34.0_-62.0,34.495000,-61.462500,0.034300
26,34.0_-63.0,34.180000,-62.670000,0.118650
27,33.0_-63.0,33.407143,-62.607143,0.048243
28,33.0_-62.0,33.436667,-61.508333,0.056883
29,33.0_-61.0,33.276667,-60.710000,0.015850
30,33.0_-60.0,33.380000,-59.720000,0.016200
31,34.0_-60.0,34.930000,-59.110000,0.071400
32,35.0_-60.0,35.607500,-59.345000,0.043750
33,35.0_-59.0,35.703750,-58.482500,0.047072
34,34.0_-59.0,34.482500,-58.217500,0.043668
35,33.0_-59.0,33.396000,-58.622000,0.030140
36,32.0_-59.0,32.720000,-58.342500,0.061875
37,32.0_-58.0,32.573333,-57.150000,0.061400
38,31.0_-58.0,31.557143,-57.308571,0.029929
39,31.0_-57.0,31.525000,-56.925000,0.050150
40,30.0_-57.0,30.230000,-56.678000,0.124720
41,30.0_-56.0,30.450000,-55.700000,0.166800
42,31.0_-56.0,31.470000,-55.680000,0.037450
43,30.0_-57.0,30.230000,-56.678000,0.124720
44,30.0_-58.0,30.000000,-57.350000,0.047100
45,30.0_-59.0,30.475200,-58.817240,0.060252
46,30.0_-60.0,30.407500,-59.585000,0.070178
47,31.0_-60.0,31.465556,-59.650000,0.032911
48,32.0_-61.0,32.470000,-60.516667,0.013317
49,33.0_-61.0,33.276667,-60.710000,0.015850
50,34.0_-61.0,34.860000,-60.870000,0.004320
51,35.0_-61.0,35.130000,-60.980000,0.015100
52,36.0_-61.0,36.712500,-60.332500,0.013500
53,36.0_-60.0,36.256667,-59.693333,0.046067
54,37.0_-61.0,37.200000,-60.930000,0.014000
55,37.0_-62.0,37.480000,-61.300000,0.030700
56,37.0_-63.0,37.210000,-62.550000,0.021600
57,36.0_-63.0,36.550000,-62.150000,0.006480
58,37.0_-63.0,37.210000,-62.550000,0.021600
59,38.0_-63.0,38.170000,-62.730000,0.000000
60,38.0_-64.0,38.470000,-63.560000,0.026625
61,38.0_-65.0,38.310000,-64.663333,0.053467
62,38.0_-66.0,38.548750,-65.425000,0.007855
63,39.0_-66.0,39.392857,-65.621429,0.008671
64,39.0_-65.0,39.438750,-64.663750,0.007805
65,39.0_-64.0,39.305714,-63.440000,0.015866
66,40.0_-64.0,40.380000,-63.698000,0.007616
67,40.0_-65.0,40.338571,-64.397143,0.015814
68,41.0_-65.0,41.473636,-64.456364,0.005098
69,41.0_-64.0,41.714000,-63.652000,0.005132
70,42.0_-64.0,42.462143,-63.505714,0.023014
71,43.0_-64.0,43.541250,-63.552500,0.006263
72,43.0_-65.0,43.512400,-64.478400,0.010916
73,43.0_-66.0,43.231000,-65.317000,0.025850
74,42.0_-66.0,42.545714,-65.574286,0.022093
75,42.0_-67.0,42.499091,-66.275455,0.004782
76,42.0_-68.0,42.288333,-67.621667,0.004599
77,41.0_-68.0,41.673750,-67.382500,0.004125
78,40.0_-68.0,40.532308,-67.626154,0.014248
79,40.0_-67.0,40.367143,-66.394286,0.014343
80,39.0_-67.0,39.476154,-66.300000,0.006100
81,38.0_-67.0,38.210000,-66.542500,0.001625
82,37.0_-67.0,37.445455,-66.624545,0.092545
83,36.0_-67.0,36.481818,-66.417273,0.029245
84,35.0_-67.0,35.392857,-66.477143,0.055057
85,35.0_-68.0,35.576667,-67.300000,0.079208
86,34.0_-68.0,34.530000,-67.295000,0.073450
87,34.0_-67.0,34.522000,-66.391000,0.049160
88,33.0_-67.0,33.520000,-66.490000,0.113600
89,33.0_-66.0,33.597500,-65.479375,0.064674
90,32.0_-66.0,32.332308,-65.361538,0.060046
91,31.0_-66.0,31.513571,-65.497857,0.128036
92,31.0_-67.0,31.552941,-66.381765,0.068829
93,31.0_-68.0,31.405238,-67.409048,0.088495
94,30.0_-68.0,30.505000,-67.652500,0.425788
95,30.0_-69.0,30.323333,-68.523333,0.116667
96,31.0_-69.0,31.589000,-68.521000,0.064770
97,31.0_-70.0,31.543333,-69.378333,0.063192
98,31.0_-71.0,31.451818,-70.500909,0.033436
99,30.0_-71.0,30.605000,-70.405000,0.110100
100,30.0_-72.0,30.670000,-71.558000,0.105320
101,31.0_-72.0,31.468750,-71.413750,0.082095
102,31.0_-73.0,31.296250,-72.495000,0.011998
103,32.0_-73.0,32.210000,-72.400000,0.079900
104,32.0_-74.0,32.590000,-73.260000,0.036700
105,31.0_-74.0,31.250000,-73.646000,0.040720
106,30.0_-74.0,30.518000,-73.544000,0.069152
107,30.0_-73.0,30.517500,-72.432500,0.076615
108,30.0_-74.0,30.518000,-73.544000,0.069152
109,30.0_-75.0,30.341250,-74.321250,0.061363
110,30.0_-76.0,30.326250,-75.565000,0.165800
111,30.0_-77.0,30.234000,-76.622000,0.085540
112,30.0_-78.0,30.150000,-77.710000,0.000000
113,30.0_-79.0,30.480000,-78.600000,0.081855
114,30.0_-80.0,30.585000,-79.545000,0.006500
115,31.0_-80.0,31.820000,-79.120000,0.000000
116,31.0_-79.0,31.495000,-78.855000,0.000000
117,31.0_-78.0,31.615000,-77.580000,0.034200
118,32.0_-78.0,32.456667,-77.213333,0.016900
119,32.0_-77.0,32.440000,-76.230000,0.010800
120,32.0_-76.0,32.385000,-75.400000,0.010050
121,32.0_-75.0,32.770000,-74.830000,0.004320
122,31.0_-75.0,31.342500,-74.547500,0.020790
123,31.0_-76.0,31.723333,-75.316667,0.003593
124,32.0_-77.0,32.440000,-76.230000,0.010800
125,32.0_-78.0,32.456667,-77.213333,0.016900
126,32.0_-79.0,32.070000,-78.210000,0.002200
127,32.0_-78.0,32.456667,-77.213333,0.016900
128,32.0_-77.0,32.440000,-76.230000,0.010800
129,32.0_-76.0,32.385000,-75.400000,0.010050
130,32.0_-75.0,32.770000,-74.830000,0.004320
131,32.0_-74.0,32.590000,-73.260000,0.036700
132,32.0_-73.0,32.210000,-72.400000,0.079900
133,32.0_-72.0,32.165000,-71.620000,0.009700
134,31.0_-71.0,31.451818,-70.500909,0.033436
135,30.0_-70.0,30.802222,-69.351111,0.028811
136,31.0_-70.0,31.543333,-69.378333,0.063192
137,32.0_-70.0,32.220000,-69.460000,0.006910
138,32.0_-69.0,32.036000,-68.316000,0.043384
139,32.0_-68.0,32.160000,-67.488333,0.034550
140,32.0_-67.0,32.184000,-66.630000,0.024196
141,32.0_-66.0,32.332308,-65.361538,0.060046
142,32.0_-65.0,32.488732,-64.582389,0.067120
143,31.0_-64.0,31.548889,-63.534444,0.045232
144,31.0_-63.0,31.636650,-62.427375,0.037150
145,30.0_-64.0,30.344425,-63.626600,0.128775
146,30.0_-65.0,30.588000,-64.661000,0.190730
147,30.0_-66.0,30.433333,-65.743333,0.053055
148,30.0_-67.0,30.630000,-66.461667,0.027000
149,31.0_-66.0,31.513571,-65.497857,0.128036
150,32.0_-65.0,32.488732,-64.582389,0.067120
151,33.0_-65.0,33.603704,-64.647037,0.124237
152,34.0_-64.0,34.567143,-63.520000,0.030900
153,35.0_-65.0,35.473158,-64.573684,0.044862
154,36.0_-66.0,36.548667,-65.364000,0.125120
155,37.0_-66.0,37.443333,-65.462222,0.007824
156,37.0_-67.0,37.445455,-66.624545,0.092545
157,37.0_-68.0,37.586667,-67.683333,0.016500
158,36.0_-68.0,36.525000,-67.575000,0.012950
159,36.0_-69.0,36.400000,-68.575000,0.017300
160,36.0_-70.0,36.500000,-69.420000,0.117700
161,37.0_-70.0,37.380000,-69.410000,0.028433
162,37.0_-69.0,37.685000,-68.500000,0.009700
163,38.0_-69.0,38.377143,-68.730000,0.042729
164,39.0_-69.0,39.535000,-68.530769,0.014752
165,39.0_-70.0,39.598718,-69.501795,0.009581
166,40.0_-70.0,40.410000,-69.539434,0.009297
167,40.0_-71.0,40.580484,-70.469597,0.008733
168,39.0_-71.0,39.616667,-70.455714,0.007857
169,39.0_-72.0,39.697143,-71.320714,0.004339
170,39.0_-73.0,39.457500,-72.262500,0.009200
171,39.0_-74.0,39.125000,-73.725000,0.002160
172,40.0_-74.0,40.290000,-73.410000,0.000000
173,40.0_-73.0,40.000000,-72.690000,0.000000
174,40.0_-72.0,40.520000,-71.286400,0.004978
175,41.0_-72.0,41.238571,-71.174286,0.009947
176,41.0_-71.0,41.329067,-70.710000,0.004935
177,42.0_-71.0,42.423068,-70.327614,0.006431
178,43.0_-71.0,43.156000,-70.202000,0.005560
179,42.0_-70.0,42.508592,-69.531268,0.005285
180,42.0_-69.0,42.450455,-68.522727,0.003755
181,43.0_-69.0,43.416500,-68.557500,0.005766
182,44.0_-69.0,44.176000,-68.342000,0.010940
183,44.0_-68.0,44.237500,-67.445000,0.001140
184,44.0_-67.0,44.280000,-66.930000,0.043200
185,43.0_-67.0,43.558571,-66.567143,0.003343
186,43.0_-68.0,43.596000,-67.734667,0.003420
187,44.0_-69.0,44.176000,-68.342000,0.010940
188,44.0_-70.0,44.200000,-69.010000,0.000000
189,43.0_-70.0,43.376875,-69.505625,0.003789
190,42.0_-70.0,42.508592,-69.531268,0.005285
191,41.0_-70.0,41.660286,-69.307429,0.002297
192,41.0_-69.0,41.347000,-68.677000,0.004544
193,40.0_-69.0,40.635000,-68.568095,0.004734
194,39.0_-68.0,39.860000,-67.563333,0.000000
195,38.0_-68.0,38.580000,-67.572000,0.002160
196,38.0_-69.0,38.377143,-68.730000,0.042729
197,38.0_-70.0,38.611818,-69.477273,0.007792
198,38.0_-71.0,38.553333,-70.560000,0.001433
199,38.0_-72.0,38.950000,-71.330000,0.008640
200,38.0_-73.0,38.445000,-72.380000,0.000000
201,37.0_-74.0,37.765000,-73.455000,0.000000
202,37.0_-75.0,37.250000,-74.350000,0.008640
203,36.0_-76.0,36.440000,-75.500000,0.000000
204,35.0_-76.0,35.990000,-75.190000,0.002700
205,36.0_-76.0,36.440000,-75.500000,0.000000
206,37.0_-75.0,37.250000,-74.350000,0.008640
207,37.0_-74.0,37.765000,-73.455000,0.000000
208,38.0_-73.0,38.445000,-72.380000,0.000000
209,38.0_-72.0,38.950000,-71.330000,0.008640
210,38.0_-71.0,38.553333,-70.560000,0.001433
211,37.0_-70.0,37.380000,-69.410000,0.028433
212,36.0_-70.0,36.500000,-69.420000,0.117700
213,35.0_-70.0,35.535000,-69.650000,0.024700
214,34.0_-70.0,34.080000,-69.990000,0.045850
215,35.0_-69.0,35.563333,-68.510000,0.026533
216,36.0_-68.0,36.525000,-67.575000,0.012950
217,37.0_-67.0,37.445455,-66.624545,0.092545
218,38.0_-66.0,38.548750,-65.425000,0.007855
219,39.0_-66.0,39.392857,-65.621429,0.008671
220,40.0_-66.0,40.520000,-65.723000,0.003820
221,41.0_-66.0,41.462308,-65.540769,0.003620
222,41.0_-67.0,41.450000,-66.375000,0.003930
223,42.0_-66.0,42.545714,-65.574286,0.022093
224,42.0_-65.0,42.576250,-64.385000,0.004400
225,42.0_-64.0,42.462143,-63.505714,0.023014
226,42.0_-63.0,42.407143,-62.461429,0.003700
227,42.0_-62.0,42.435000,-61.731000,0.015834
228,43.0_-62.0,43.150000,-61.320000,0.021600
229,44.0_-62.0,44.339412,-61.629412,0.008086
230,44.0_-61.0,44.234000,-60.584000,0.015460
231,44.0_-60.0,44.280000,-59.331667,0.109517
232,44.0_-59.0,44.950000,-58.420000,0.017700
233,45.0_-59.0,45.302500,-58.507500,0.020525
234,45.0_-58.0,45.525000,-57.740000,0.051850
235,46.0_-58.0,46.480000,-57.582500,0.015870
236,47.0_-58.0,47.080000,-57.780000,0.017400
237,47.0_-57.0,47.256667,-56.316667,0.001650
238,46.0_-57.0,46.332000,-56.708000,0.009240
239,45.0_-57.0,45.970000,-56.800000,0.006500
240,44.0_-57.0,44.950000,-56.870000,0.002150
241,43.0_-58.0,43.950000,-57.260000,0.013150
242,43.0_-59.0,43.923333,-58.956667,0.000000
243,43.0_-60.0,43.460000,-59.705000,0.009400
244,43.0_-61.0,43.177143,-60.687143,0.004054
245,42.0_-61.0,42.592000,-60.664000,0.021420
246,41.0_-62.0,41.130000,-61.570000,0.003780
247,41.0_-63.0,41.720000,-62.600000,0.000000
248,40.0_-63.0,40.345000,-62.375000,0.003260
249,39.0_-63.0,39.030000,-62.980000,0.002200
250,38.0_-63.0,38.170000,-62.730000,0.000000
251,37.0_-62.0,37.480000,-61.300000,0.030700
252,38.0_-61.0,38.375000,-60.650000,0.029100
253,37.0_-61.0,37.200000,-60.930000,0.014000
254,36.0_-60.0,36.256667,-59.693333,0.046067
255,37.0_-59.0,37.900000,-58.800000,0.001450
256,37.0_-58.0,37.450000,-57.420000,0.014650
257,37.0_-59.0,37.900000,-58.800000,0.001450
258,36.0_-60.0,36.256667,-59.693333,0.046067
259,35.0_-59.0,35.703750,-58.482500,0.047072
260,34.0_-58.0,34.870000,-57.380000,0.022300
261,33.0_-58.0,33.880000,-57.360000,0.006480
262,34.0_-59.0,34.482500,-58.217500,0.043668
263,35.0_-60.0,35.607500,-59.345000,0.043750
264,36.0_-61.0,36.712500,-60.332500,0.013500
265,37.0_-62.0,37.480000,-61.300000,0.030700
266,38.0_-63.0,38.170000,-62.730000,0.000000
267,39.0_-63.0,39.030000,-62.980000,0.002200
268,40.0_-63.0,40.345000,-62.375000,0.003260
269,41.0_-62.0,41.130000,-61.570000,0.003780
270,40.0_-61.0,40.780000,-60.250000,0.000000
271,41.0_-60.0,41.170000,-59.230000,0.002200
272,42.0_-61.0,42.592000,-60.664000,0.021420
273,43.0_-62.0,43.150000,-61.320000,0.021600
274,43.0_-63.0,43.605000,-62.525000,0.005400
275,44.0_-63.0,44.395000,-62.560000,0.013213
276,44.0_-64.0,44.307500,-63.455000,0.001275
277,44.0_-65.0,44.183750,-64.205000,0.006775
278,44.0_-64.0,44.307500,-63.455000,0.001275
279,44.0_-63.0,44.395000,-62.560000,0.013213
280,44.0_-62.0,44.339412,-61.629412,0.008086
281,45.0_-61.0,45.332500,-60.290000,0.001625
282,45.0_-60.0,45.090000,-59.800000,0.005050
283,46.0_-59.0,46.193333,-58.866667,0.007947
